,Kline open time,Open price,High price,Low price,Close price,Volume,Kline Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,"Unused field, ignore"
0,1667947020000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947079999,0.00000000,0,0.00000000,0.00000000,0
1,1667947080000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947139999,0.00000000,0,0.00000000,0.00000000,0
2,1667947140000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947199999,0.00000000,0,0.00000000,0.00000000,0
3,1667947200000,83.00000000,83.00000000,83.00000000,83.00000000,493.00000000,1667947259999,40919.00000000,10,493.00000000,40919.00000000,0
4,1667947260000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947319999,0.00000000,0,0.00000000,0.00000000,0
5,1667947320000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947379999,0.00000000,0,0.00000000,0.00000000,0
6,1667947380000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947439999,0.00000000,0,0.00000000,0.00000000,0
7,1667947440000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947499999,0.00000000,0,0.00000000,0.00000000,0
8,1667947500000,83.00000000,83.00000000,83.00000000,83.00000000,0.00000000,1667947559999,0.00000000,0,0.00000000,0.00000000,0
9,1667947560000,82.80000000,82.80000000,82.80000000,82.80000000,1.21000000,1667947619999,100.18800000,2,0.00000000,0.00000000,0
10,1667947620000,82.80000000,82.80000000,82.80000000,82.80000000,0.00000000,1667947679999,0.00000000,0,0.00000000,0.00000000,0
11,1667947680000,82.80000000,82.80000000,82.80000000,82.80000000,0.00000000,1667947739999,0.00000000,0,0.00000000,0.00000000,0
12,1667947740000,82.80000000,82.80000000,82.80000000,82.80000000,0.00000000,1667947799999,0.00000000,0,0.00000000,0.00000000,0
13,1667947800000,82.80000000,82.80000000,82.80000000,82.80000000,0.00000000,1667947859999,0.00000000,0,0.00000000,0.00000000,0
14,1667947860000,82.80000000,82.80000000,82.20000000,82.20000000,0.48000000,1667947919999,39.60000000,2,0.00000000,0.00000000,0
15,1667947920000,82.20000000,82.20000000,82.20000000,82.20000000,0.00000000,1667947979999,0.00000000,0,0.00000000,0.00000000,0
16,1667947980000,82.20000000,82.20000000,82.20000000,82.20000000,0.00000000,1667948039999,0.00000000,0,0.00000000,0.00000000,0
17,1667948040000,82.20000000,82.20000000,82.20000000,82.20000000,0.00000000,1667948099999,0.00000000,0,0.00000000,0.00000000,0
18,1667948100000,83.90000000,83.90000000,83.90000000,83.90000000,0.24000000,1667948159999,20.13600000,1,0.24000000,20.13600000,0
19,1667948160000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948219999,0.00000000,0,0.00000000,0.00000000,0
20,1667948220000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948279999,0.00000000,0,0.00000000,0.00000000,0
21,1667948280000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948339999,0.00000000,0,0.00000000,0.00000000,0
22,1667948340000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948399999,0.00000000,0,0.00000000,0.00000000,0
23,1667948400000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948459999,0.00000000,0,0.00000000,0.00000000,0
24,1667948460000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948519999,0.00000000,0,0.00000000,0.00000000,0
25,1667948520000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948579999,0.00000000,0,0.00000000,0.00000000,0
26,1667948580000,83.90000000,83.90000000,83.90000000,83.90000000,0.00000000,1667948639999,0.00000000,0,0.00000000,0.00000000,0
27,1667948640000,82.10000000,82.10000000,82.10000000,82.10000000,2.76000000,1667948699999,226.59600000,1,0.00000000,0.00000000,0
28,1667948700000,82.10000000,82.10000000,82.10000000,82.10000000,0.00000000,1667948759999,0.00000000,0,0.00000000,0.00000000,0
29,1667948760000,82.10000000,82.10000000,82.10000000,82.10000000,0.00000000,1667948819999,0.00000000,0,0.00000000,0.00000000,0
